date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:20:41	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Mar%202025%2005:20:42%20GMT	https://saldowdofficial.vercel.app/robots.txt		(from )
12:20:42	130844/130844	---MCZ	200	added ('OK')	text/html	etag:W/%22329ebaaca32b9930bde7dee50fadada6%22	https://saldowdofficial.vercel.app/	C:/My%20Web%20Sites/hattorii/saldowdofficial.vercel.app/index.html	(from )
12:20:44	47327/47327	---M--	200	added ('OK')	image/png	date:Fri,%2023%20Aug%202024%2010:37:17%20GMT	https://mainsaldo.com/Assets/favicon.png	C:/My%20Web%20Sites/hattorii/mainsaldo.com/Assets/favicon.png	(from https://saldowdofficial.vercel.app/)
12:20:44	0/0	---M--	302	error ('Moved%20Temporarily')	text/html	date:Tue,%2018%20Mar%202025%2005:20:46%20GMT	https://imgur.com/JnPeA8o.png	C:/My%20Web%20Sites/hattorii/imgur.com/JnPeA8o.1.delayed	(from https://saldowdofficial.vercel.app/)
12:20:45	0/-1	---M--	302	error ('')			https://imgur.com/JnPeA8o.png	C:/My%20Web%20Sites/hattorii/imgur.com/JnPeA8o.2.delayed	(from https://saldowdofficial.vercel.app/)
12:20:45	0/-1	---M--	302	error ('')			https://imgur.com/JnPeA8o.png	C:/My%20Web%20Sites/hattorii/imgur.com/JnPeA8o.3.delayed	(from https://saldowdofficial.vercel.app/)
12:20:45	0/-1	---M--	302	error ('')			https://imgur.com/JnPeA8o.png	C:/My%20Web%20Sites/hattorii/imgur.com/JnPeA8o.4.delayed	(from https://saldowdofficial.vercel.app/)
12:20:45	0/-1	---M--	302	error ('')			https://imgur.com/JnPeA8o.png	C:/My%20Web%20Sites/hattorii/imgur.com/JnPeA8o.5.delayed	(from https://saldowdofficial.vercel.app/)
12:20:45	42387/42387	---M-Z	200	added ('OK')	text/javascript	etag:%22848ddcc7a5193f9dbeb177386b6c0dda%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	C:/My%20Web%20Sites/hattorii/assets.squarespace.com/@sqs/polyfiller/1.6/legacy.js	(from https://saldowdofficial.vercel.app/)
12:20:46	18665/18665	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2018%20Mar%202025%2005:20:47%20GMT	http://use.typekit.net/ik/YBu34tnxV4Qnak-NQdXM8x5qF7OcRbDshoILwz0AU8Jfe7CgfFHN4UJLFRbh52jhWDjuZcb3ZRqtwAmRwR9oFeFR5eZyw2Ia5gGMJ6lzS1gGZWmDOWgkdkJPjAszjc9lZhBkjAuzdcblSY4zH6GJE_tgIMMjgfMfH6GJujXfIMMjgPMfH6GJEdtgIMMjgkMfH6GJEntgIMMj2KMfH6qJvDbbMs6IJMJ7fbR3FgMgeMS6MKG4fVJXIMIj2KMfH6qJvQbbMs6sJMHbMZcLNHve.js	C:/My%20Web%20Sites/hattorii/use.typekit.net/ik/YBu34tnxV4Qnak-NQdXM8x5qF7OcRbDshoILwz0AU8Jfe7CgfFHN4UJLFRbh52jhWDjuZcb3ZRqtwAmRwR9oFeFR5eZyw2Ia5gGMJ6lzS1gGZWmDOWgkdkJPjAszjc9lZhBkjAuzdcblSY4zH6GJE_tgIMMjgfMfH6GJujXfIMMjgPMfH6GJEdtgIMMjgkMf	(from https://saldowdofficial.vercel.app/)
12:20:47	18185/18185	---M-Z	200	added ('OK')	text/css	etag:%227c9ca6a9f87ffd9ce4d705b0cadbf5f8%22	http://assets.squarespace.com/universal/styles-compressed/commerce-2af06f7948db5477d8f5-min.en-US.css	C:/My%20Web%20Sites/hattorii/assets.squarespace.com/universal/styles-compressed/commerce-2af06f7948db5477d8f5-min.en-US.css	(from https://saldowdofficial.vercel.app/)
12:20:48	117609/117609	---M-Z	200	added ('OK')	text/javascript	etag:%22fe0d53a94823df972dbf107bf190771a%22	http://assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	C:/My%20Web%20Sites/hattorii/assets.squarespace.com/@sqs/polyfiller/1.6/modern.js	(from https://saldowdofficial.vercel.app/)
12:20:48	0/0	---M--	301	error ('Moved%20Permanently')	text/css	date:Tue,%2018%20Mar%202025%2005:20:49%20GMT	https://static1.squarespace.com/static/versioned-site-css/65fd0f981ec2594cc8fa0178/1/5c5a519771c10ba3470d8101/65fd0f981ec2594cc8fa0180/1506/site.css	C:/My%20Web%20Sites/hattorii/static1.squarespace.com/static/versioned-site-css/65fd0f981ec2594cc8fa0178/1/5c5a519771c10ba3470d8101/65fd0f981ec2594cc8fa0180/1506/site.a.delayed	(from https://saldowdofficial.vercel.app/)
